scenario-metric,mean,low_ci,high_ci,n_replications
admission_rate__base,0.8089585738860542,0.7951910342670051,0.8227261135051033,30.0
admission_rate__12beds,0.9232107222955073,0.9145924439203624,0.9318290006706521,30.0
admission_rate__priority,0.7818309854011317,0.7681421378278088,0.7955198329744546,30.0
admission_rate__combined,0.9007236473262387,0.8907430101869571,0.9107042844655202,30.0
rejection_rate__base,0.1910414261139458,0.17727388649489673,0.2048089657329949,30.0
rejection_rate__12beds,0.07678927770449272,0.06817099932934789,0.08540755607963754,30.0
rejection_rate__priority,0.21816901459886834,0.20448016702554542,0.23185786217219126,30.0
rejection_rate__combined,0.09927635267376139,0.08929571553447985,0.10925698981304294,30.0
avg_waiting_time__base,3.7741734700330554,3.5862863259100846,3.962060614156026,30.0
avg_waiting_time__12beds,2.1690021166921127,2.014919912808908,2.3230843205753176,30.0
avg_waiting_time__priority,2.285695391173802,2.185418355427855,2.3859724269197486,30.0
avg_waiting_time__combined,1.3984569651709375,1.307961544261563,1.488952386080312,30.0
avg_bed_utilization__base,0.9507258437355525,0.9439753053706477,0.9574763821004573,30.0
avg_bed_utilization__12beds,0.889921405455386,0.879972493153467,0.899870317757305,30.0
avg_bed_utilization__priority,0.939704114655571,0.9324383851155283,0.9469698441956137,30.0
avg_bed_utilization__combined,0.8779858221605795,0.8702831578186508,0.8856884865025082,30.0
peak_queue_length__base,5.0,5.0,5.0,30.0
peak_queue_length__12beds,5.0,5.0,5.0,30.0
peak_queue_length__priority,5.0,5.0,5.0,30.0
peak_queue_length__combined,5.0,5.0,5.0,30.0
pct_time_queue_full__base,0.10032362459546924,0.09233577704060263,0.10831147215033586,30.0
pct_time_queue_full__12beds,0.04641701340730466,0.04036242266555963,0.052471604149049694,30.0
pct_time_queue_full__priority,0.07420249653259361,0.06689882911093936,0.08150616395424787,30.0
pct_time_queue_full__combined,0.03522884882108183,0.029765484931147626,0.04069221271101603,30.0
pct_time_under_pressure__base,0.694868238557559,0.6632887634674295,0.7264477136476885,30.0
pct_time_under_pressure__12beds,0.43495145631067955,0.4058689123216524,0.4640340002997067,30.0
pct_time_under_pressure__priority,0.6271844660194174,0.6009331565431618,0.6534357754956729,30.0
pct_time_under_pressure__combined,0.39500693481276006,0.372164025691936,0.4178498439335841,30.0
avg_length_of_stay__base,27.718887375820444,27.459173172045073,27.978601579595814,30.0
avg_length_of_stay__12beds,26.103848426310876,25.88771515210176,26.319981700519993,30.0
avg_length_of_stay__priority,26.75076128107462,26.551340517244796,26.950182044904444,30.0
avg_length_of_stay__combined,25.516819332556405,25.36419885835906,25.66943980675375,30.0
rejection_rate_low__base,0.15901604154402013,0.13749097247417386,0.1805411106138664,30.0
rejection_rate_low__12beds,0.0614168159700409,0.050255331102216874,0.07257830083786493,30.0
rejection_rate_low__priority,0.36800619950996016,0.34459834191390554,0.3914140571060148,30.0
rejection_rate_low__combined,0.1699044778602853,0.1530398875453719,0.18676906817519873,30.0
rejection_rate_medium__base,0.20254009234424603,0.18891987950486633,0.21616030518362572,30.0
rejection_rate_medium__12beds,0.08342295882382864,0.07325423689063999,0.09359168075701728,30.0
rejection_rate_medium__priority,0.14693737228386666,0.1343322645292026,0.15954248003853072,30.0
rejection_rate_medium__combined,0.06609671885174205,0.05659066714560665,0.07560277055787745,30.0
rejection_rate_high__base,0.30900437525437524,0.24577771587581485,0.3722310346329356,30.0
rejection_rate_high__12beds,0.12291366041366042,0.07131199475102021,0.17451532607630063,30.0
rejection_rate_high__priority,0.09544566544566546,0.055404602379204325,0.1354867285121266,30.0
rejection_rate_high__combined,0.04689393939393939,0.014578224874764643,0.07920965391311413,30.0
