metric,10 beds / FIFO (base),10 beds / Priority,12 beds / FIFO,12 beds / Priority
admission_rate,0.852248159873689,0.8246571723904401,0.9825354190198489,0.9735239813268771
rejection_rate,0.14775184012631115,0.17534282760955985,0.01746458098015126,0.0264760186731229
avg_waiting_time,5.479935262476659,2.719276669628461,2.5258375679961564,1.214859689484037
avg_bed_utilization,0.9855339805825243,0.9820064724919094,0.9592348589921406,0.9455463091385421
peak_queue_length,5.0,5.0,4.966666666666667,4.566666666666666
pct_time_queue_full,0.0978733240869163,0.02723069810448451,0.015811373092926486,0.0026352288488210814
pct_time_under_pressure,0.9277392510402219,0.8348127600554786,0.6014331946370781,0.4273693943596856
avg_length_of_stay,29.310971845273727,27.317691221502535,26.58577491645743,25.3018565442245
rejection_rate_low,0.10051866107680234,0.3672323114246284,0.012005277468200801,0.06054870843051061
rejection_rate_medium,0.16739754610803845,0.08839855823823774,0.018259825786863908,0.010881775288967714
rejection_rate_high,0.2643180893180893,0.03493746993746994,0.06647065897065897,0.0
