metric,mean,ci_lower,ci_upper,n_replications
admission_rate,0.852248159873689,0.8464678628705596,0.8580284568768183,30
rejection_rate,0.14775184012631115,0.1419715431231818,0.1535321371294405,30
avg_waiting_time,5.479935262476659,5.386643715906943,5.573226809046376,30
avg_bed_utilization,0.9855339805825243,0.9848528365780831,0.9862151245869655,30
peak_queue_length,5.0,5.0,5.0,30
pct_time_queue_full,0.0978733240869163,0.09223322899323491,0.1035134191805977,30
pct_time_under_pressure,0.9277392510402219,0.9210467111207007,0.9344317909597432,30
avg_length_of_stay,29.310971845273727,29.142139060799977,29.479804629747477,30
rejection_rate_low,0.10051866107680234,0.09181324342034221,0.10922407873326247,30
rejection_rate_medium,0.16739754610803845,0.15918287331299386,0.17561221890308304,30
rejection_rate_high,0.2643180893180893,0.19247015360568592,0.3361660250304927,30
