admission_rate,rejection_rate,avg_waiting_time,avg_bed_utilization,peak_queue_length,pct_time_queue_full,pct_time_under_pressure,avg_length_of_stay,rejection_rate_low,rejection_rate_medium,rejection_rate_high,replication,seed
1.0,0.0,0.4201009712008494,0.9056865464632455,3,0.0,0.17753120665742025,18.89103474993874,0.0,0.0,0.0,0,2026000
1.0,0.0,0.49240143965493294,0.8981969486823858,4,0.0,0.18446601941747573,19.17614007158099,0.0,0.0,0.0,1,2026001
0.9971988795518207,0.0028011204481792717,0.4108791524700457,0.8972260748959778,3,0.0,0.1553398058252427,19.006515215699462,0.0,0.0,0.09090909090909091,2,2026002
0.9971751412429378,0.002824858757062147,0.4732086282731452,0.8861303744798892,3,0.0,0.16920943134535368,19.059254266863785,0.0,0.0,0.14285714285714285,3,2026003
0.9943342776203966,0.0056657223796034,0.40070490990801905,0.8828016643550625,5,0.0013869625520110957,0.13869625520110956,18.883842367461327,0.0,0.004424778761061947,0.125,4,2026004
1.0,0.0,0.5458868871713719,0.9144244105409155,3,0.0,0.21636615811373092,19.33808457398552,0.0,0.0,0.0,5,2026005
1.0,0.0,0.5300581310921061,0.9105409153952845,3,0.0,0.20249653259361997,19.173709465507336,0.0,0.0,0.0,6,2026006
1.0,0.0,0.6250381733306065,0.9178918169209431,4,0.0,0.24271844660194175,19.339696543550218,0.0,0.0,0.0,7,2026007
0.9945054945054945,0.005494505494505495,0.8577912754117529,0.9282940360610265,5,0.0013869625520110957,0.3092926490984743,19.75275479125112,0.0,0.008438818565400843,0.0,8,2026008
1.0,0.0,0.21714587303252997,0.8868238557558945,2,0.0,0.0957004160887656,18.690945608229892,0.0,0.0,0.0,9,2026009
1.0,0.0,0.45503934136207885,0.8891816920943135,3,0.0,0.18169209431345354,18.955858472049343,0.0,0.0,0.0,10,2026010
0.9944444444444445,0.005555555555555556,0.5200196184749988,0.9069348127600556,4,0.0,0.19833564493758668,19.28700893075905,0.0,0.004405286343612335,0.125,11,2026011
1.0,0.0,0.6690427087986665,0.9128987517337033,4,0.0,0.21359223300970873,19.410565657269814,0.0,0.0,0.0,12,2026012
1.0,0.0,0.19828573999744803,0.8671289875173371,4,0.0,0.06934812760055478,18.29401483692638,0.0,0.0,0.0,13,2026013
0.9971830985915493,0.0028169014084507044,0.285217579437078,0.8882108183079058,3,0.0,0.12482662968099861,18.774808658694994,0.0,0.0,0.125,14,2026014
0.9943820224719101,0.0056179775280898875,0.4159077785422655,0.8959778085991679,3,0.0,0.15811373092926492,19.04865865641914,0.0,0.008695652173913044,0.0,15,2026015
0.997229916897507,0.002770083102493075,0.8234206091855548,0.9116504854368931,4,0.0,0.26490984743411927,19.510665844808564,0.0,0.004464285714285714,0.0,16,2026016
0.9972067039106145,0.002793296089385475,0.49525008489394967,0.8990291262135923,3,0.0,0.18585298196948682,19.163403249674214,0.0,0.004405286343612335,0.0,17,2026017
0.9918032786885246,0.00819672131147541,0.6677636787517827,0.9047156726768376,4,0.0,0.21914008321775313,19.125138357689803,0.0,0.013043478260869565,0.0,18,2026018
1.0,0.0,0.4785292526786015,0.9092926490984744,4,0.0,0.17475728155339806,19.020626963203423,0.0,0.0,0.0,19,2026019
0.9972375690607734,0.0027624309392265192,0.5255275120702874,0.9124826629681,3,0.0,0.21359223300970873,19.189888192797216,0.0,0.0,0.125,20,2026020
0.9836956521739131,0.016304347826086956,0.9886924652211717,0.9299583911234398,5,0.006934812760055479,0.3217753120665742,19.854752788045225,0.0,0.0234375,0.0,21,2026021
0.994579945799458,0.005420054200542005,0.5720059434214732,0.9199722607489599,4,0.0,0.24133148404993066,19.089360364600324,0.0,0.008298755186721992,0.0,22,2026022
1.0,0.0,0.600830141897159,0.9174757281553398,4,0.0,0.217753120665742,19.103369955689512,0.0,0.0,0.0,23,2026023
0.9865229110512129,0.013477088948787063,0.7106841661524271,0.9273231622746186,4,0.0,0.27323162274618584,19.387454492847628,0.0,0.015873015873015872,0.1,24,2026024
0.9972451790633609,0.0027548209366391185,0.6925413952497906,0.9155339805825241,5,0.0013869625520110957,0.23578363384188628,19.345126869737157,0.0,0.00425531914893617,0.0,25,2026025
0.9943977591036415,0.0056022408963585435,0.6204745013230506,0.9115117891816922,3,0.0,0.21914008321775313,19.545511942565785,0.0,0.0040650406504065045,0.1111111111111111,26,2026026
0.9973333333333333,0.0026666666666666666,1.0246752564724864,0.9373092926490986,4,0.0,0.3578363384188627,19.58570371695184,0.0,0.004098360655737705,0.0,27,2026027
0.989041095890411,0.010958904109589041,0.6515274032509114,0.90873786407767,3,0.0,0.2635228848821082,19.202866986056797,0.0,0.01276595744680851,0.09090909090909091,28,2026028
1.0,0.0,0.6152682328024708,0.9216366158113731,3,0.0,0.231622746185853,19.205792987782413,0.0,0.0,0.0,29,2026029
